_id,user,content,y
111753937734745893,nowifeinthelaopobing,冷静下来仍然觉得增进自己贡献价值是正路，但我今年真的要学会为自己争取才可以，我不会再让了。,0
111753937703902969,marthadear,"war neulich auf ner veranstaltung und (wieder mal) die einzige mit maske. da fragte mich eine frau, ob ich die trage, weil ich corona habe.es war für sie nachvollziehbarer, dass ich da mit c auftauche, als dass ich mich weiter davor schütze??plus: was für ein arschloch müsste ich bitte sein wissentlich mit c infiziert auf ne veranstaltung zu gehen?? like, what the actual fuck",1
111753937695537419,IHasWisdom,Q:	How many marketing people does it take to change a light bulb?A:	I'll have to get back to you on that.,0
111753937678847359,Steffell,"The everlasting romance of Education: from Yesteryear to Today - 19 - A project carried in collaboration with a primary school in #Brittany, #france.Go back to 2023.https://flic.kr/p/2psm2N8#BW #Photography #School #Leica #LeicaM #Monochrom #Education #YesterYear #Children #mm1 #monochrome",0
111753937675453376,Deiru,I mean I called it right around when I barely started reading it but I'm still mad about it even after thinking about it for a bit.,0
111753937641801559,tommi,Tämä #pitsa on parempi kuin mikään koskaan #MikkoNom-häpstääkin alla.Ehkä. Tai sit ei.,0
111753937549676372,joelkuiper,https://entoenvoormijnlotgenoten.nl/files/20240110_book_with_cover.pdf,0
111753937526139595,nerolikawa,サンポがでっかくなっても俺達は一生友達だぞ穹さん……,0
111753937442524448,pjw,Hey here's a question for both the philosophers and the leftist/activists in the room. And the social scientists too!Any reading recommendations on (a) theories of political change and/or (b) the 'point' of different types of protests?,0
111753937441732813,joelpatt,http://worrydream.com/refs/Lockhart-MathematiciansLament.pdf,0
111753937407220913,MoiraEve,WaPo Headline: How Lloyd Austin’s medical mystery ignited a firestorm The defense secretary’s secretive hospitalization has caused a potentially damaging distraction for President Biden as he seeks reelection and has unleashed a fierce debate over privacy // America doesn’t give a shit about #privacy rights. We handed over that right to corporations just like we seem to be handing over the right to democracy and freedom.,0
111753937405128268,mamo,絵が好き国民ノリがいいRE: https://cybre.club/notes/9ogy12ods1z5qumc,0
111753937382740838,yura15cbx,"Е, 4тб розданного без перезагрузки",0
111753937363409733,Brynawel,"User ""Kyle"" hat hervorragend zusammengefaßt, was ein rechtsextremistischer Statt bedeutet: https://www.br.de/nachrichten/bayern/neuer-afd-landesvorstand-mehr-radikale-mitglieder,U1GvtJd?commentID=27ca188c-6adb-4aaf-8797-c5c0c7af1000",0
111753937353504493,yamadaman,守ったら負ける！攻めろ！！🍕,0
111753937278648015,pkmnframes,Season 1 Episode 23 - The Tower of TerrorFrame 1892/2340Caption: Huh?#pokemon #anipoke #s1e23,0
111753937255275149,sakuyamochi,美容師さんにセットで貰っても数時間内に崩壊したから何も信じられない,0
111753937211609948,soyu,"부슽) 저 그래서 스카바이 진짜 좋은겜이라 생각해요 초반에 조금만 헤매면서 버티면,,, 절벽을 넘을수잇게됨... 그리고 낙사가없음(중요)",0
111753937201751843,ibis,お風呂、防水スピーカーだけ持ち込んでWNIライプ聞いているわ,0
111753937195849622,bonneville,Eierlikör,1
111753937195560694,kuvo_playlist,3:55am Between the Devil and the Deep Blue Sea (Remastered 2016) by Howard Roberts from Remastered Hits#HowardRoberts #BetweentheDevilandtheDeepBlueSeaRemastered2016 #JazzNetwork #KUVO,0
111753937165727466,Telmina,うん。ヘイッター、マジで本当に母国語が同じなのか極めて疑わしい輩が多い。だって、俺のプロフィールでフォローを返さないと明言しているのにフォローリクエストを送ってくる大馬鹿者が時々わいてくるんだもん、で、そいつらの発言内容は決まって低レベルもいいところ。,0
111753937155076276,aqz,本当はメルカリで売りたいものの手間がとんでもないことになるため不可能,0
111753937139851471,tallandtrue,"I washed Jet's leash, harness, and #LabradorRescue collar. PS. The angle of the photo makes Jet look malnourished, though I am trying to reduce his weight prior to cruciate ligament surgery. ❤️ #dogs #mydog #mydogposts #DogsOfMastodon",0
111753937131074411,Iron__Spider,Beckham's Best Assists! 👏 | Best Of Beckham https://youtu.be/bb3qXscWP5c?si=OsutUvq5-CN-2xQk,0
111753937123054372,awiel,Voor een groot deel van Nederland is de luchtkwaliteit ongunstig #fijnstofhttps://dataportaal.openiod.org/dashboard,0
111753937098866888,nunosaki,20:00からさぎょhttps://youtube.com/live/fTjhn47KCjA,0
111753937076400293,Tae156,"Yes I cried at end of episode 8, but there were happy times too. Worrying how bad Jimin got, but great that he had friends to help him. Good to see Jin with friends as once before he'd implied it was difficult to have friends & be famous. Nice house tours, and also members who obviously didn't want to give house tours. Must be so strange being alone ( also not good for mental health) so let's see how things go after military service. (1/2)",0
111753937064449650,Camillamalm,"Det är en riktigt bra idé att vaccinera sig mot HPV, oavsett kön (och nästan oavsett sexualvanor, undantaget helt icke aktiva eller helt säkert för evigt monogam med en och samma inte ngt byte någonsin för någon av er två) https://sverigesradio.se/artikel/fa-unga-kvinnor-hpv-vaccinerar-sig-trots-att-det-ar-gratis",0
111753937060845319,UrduChronicle,"یمن کے حوثی گروپ کا امریکی حملوں کے مؤثر جواب کا اعلان، خطے میں کشیدگی پھیلنے کے خطرات امریکہ نے یمن میں اور حملہ کیا ہے، حوثی ملیشیا نے ""مضبوط اور موثر جواب"" کی دھمکی دی ہے،جس سے کشیدگی میں مزید اضافہ ہوا ہے۔ ان حملوں نے حماس اور اسرائیل جنگ کے بعد مشرق وسطیٰ میں پھیلنے والے تنازع میں اضافے کے خدشات میں اضافہ کر دیا ہے، ایران کے اتحادی لبنان، شام اور عراق بھی میدان میں اترے ہیں۔https://urduchronicle.com/world/yemens-houthi-group-announced-an-effective-response-to-us-attacks-risks-of-conflict-spreading-in-the-region/",0
111753937022345193,mhkn,I need to get my ass to rewrite my site but head empty... don't want a bland website but also too much decor gives me headache,0
111753936892083738,kani,？,0
111753936874494875,ramontrivino,"Podemos, diez años después: cambiarlo todo para volver a empezarhttps://www.eldiario.es/politica/diez-anos-despues-cambiarlo-volver-empezar_1_10833951.html",0
111753936835826858,Kabbul,"Lo que leo a algunos (que no se cómo mencionar, por torpeza. A Perales y a Maestra Paladina) sobre el concepto Web Sencilla anima a investigar y hacer cosiñas. ¿Lograré algo tangible? Lo dudo.De momento, he vuelto a instalar Metatext y a entrar aquí. Ya es algo.",0
111753936765989719,bioreconstruct,Aerial photo of a shop building past the entrance of Epic Universe. Arrow at a staging area of curved steel beams.,0
111753936737159991,wigwamania,いやー、もう土日に主体的に動くのは無理なんだわ。掃除と勉強と冷蔵庫にビールを取りに行くのが精一杯で。あとはただただ受け身。流れてくるテレビを見るくらい。,0
111753936713532995,touchide,"Touch IDE did not have a new release this year - this will change soon. We will have a new feature calling ""views"" and much more.",0
111753936699228514,Su_melan,"Its 220,000 yen.",0
111753936694918411,Opsitek,"Berkat AI, Ini Dia Peningkatan Fitur Kamera di OneUI 6.0 • Jagat Gadget – https://bit.ly/47x6rjP – #Opsitek #K opiminfoBerkat AI, Ini Dia Peningkatan Fitur Kamera di OneUI 6.0 • Jagat Gadget January 14, 2024 at 05:55PM Berkat AI, Ini Dia Peningkatan Fitur Kamera di OneUI 6.0 • Jagat Gadget November 13, 2023 Seperti yang telah dijanjikan oleh Samsung saat merilis update OneUI 6.0, salah satu peningkatan yang akan dihadirkan yaitu dari menu kamera. Pengguna akan…https://kopiminfo.wordpress.com/2024/01/14/berkat-ai-ini-dia-peningkatan-fitur-kamera-di-oneui-6-0-jagat-gadget-https-bit-ly-47x6rjp-opsitek-k-opiminfo/",0
111753936670368893,nzz_bot,LIVE - Krieg in Nahost: Massenkundgebung in Israel fordert Freilassung der Gaza-Geiseln +++ Israels Armee meldet erneuten Schusswechsel an Grenze zum Libanon Mit einem Vorstoss auf israelisches Gebiet und Massakern an der Zivilbevölkerung hat die palästinensische Terrorgruppe Hamas im Oktober 2023 einen Krieg ausgelöst. Seitdem kommt es zu massiven Kampfhandlungen im dichtbesiedelten Gazastreifen. https://www.nzz.ch/international/krieg-in-nahost-baerbock-spricht-vom-medizinischen-desaster-im-gazastreifen-israel-bestaetigt-toetung-von-weiterem-mitglied-der-hizbullah-ld.1759794 #NZZ #Switzerland #News,0
111753936615874473,taujun,寺町四条下がったとこのカラヒカレー。いつか行くリストからひとつ完了。7席のカウンター、メニューはカレーとチャイとビールのみのストロングスタイル。程良い辛さとさらっと食える軽さが同居してる感じ。,0
111753936596928994,lwv_wa,"Advocacy, civil discourse, debate are all part of a healthy democracy. Voter suppression, gerrymandering, supermajorities are not. Join the Virginia League of Women Voters in Richmond on February 8. Let your voice be heard. Can’t make it? Follow the issues @vpapupdates #Virginia",0
111753936557323929,kani,箱革命,0
111753936540405260,090,先生！お腹痛いので殴ってください！RE: https://misskey-square.net/notes/9ogy27s58e,0
111753936507981383,giardino,🙏,0
111753936500730684,Phillmoore,Week 02 - 2024 #DFIR https://thisweekin4n6.com/2024/01/14/week-02-2024/,0
